provincia,total_casos,porcentaje_total,promedio_casos,registros
Tucumán,109313,45.03852334061225,21.463381111329277,5093
Salta,46419,19.125293560215894,9.592684438933665,4839
Santiago Del Estero,34831,14.35087141032508,12.27307963354475,2838
Jujuy,25516,10.512957850933212,11.661791590493602,2188
La Rioja,14349,5.911993737382061,10.79683972911964,1329
Catamarca,12282,5.060360100531498,8.372188139059304,1467
